id,nome_completo,cpf,rg,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,numero_cartao,score_credito,tempo_cliente,data_cadastro
1,Ravy Pires,481.527.603-07,643217502,cavalcanterodrigo@example.org,0300 960 0756,"Morro Joaquim Aparecida, 66
Laranjeiras
49054986 Porto / MA",Almeida Alegre,Minas Gerais,15812-955,1966-02-05,59,Líder comunitário,Correia Ltda.,7150.04,1.77,99.5,31.8,68679.65,180087015302960,449.67,19,2021-11-03 14:39:55
2,Dante Castro,935.218.406-89,701658344,vargasheloisa@example.net,+55 81 3875-5950,"Fazenda Costela, 69
Nova Gameleira
56626472 Casa Grande dos Dourados / PB",da Conceição de Fonseca,Mato Grosso do Sul,73217-013,1960-04-15,65,Agente funerário,Lopes Pereira - ME,9718.34,1.9,102.7,28.4,41713.2,4318286909068540,743.54,10,2023-01-14 11:05:46
3,Rafaela Dias,670.985.243-10,537826014,ecamara@example.net,(011) 0078 3854,"Lago de Nascimento, 46
Maria Virgínia
22766097 da Mota da Serra / PR",Nascimento do Galho,Paraná,28073-846,1993-12-17,31,Educador integrado à saúde pública,Barros,41983.82,1.74,103.0,34.0,68407.83,2230663473545435,440.55,13,2024-09-10 09:44:38
4,Davi Sales,724.085.319-50,038746219,luiz-henrique07@example.net,+55 71 4413 9174,"Vila Aparecida, 8
Vila Petropolis
32385-022 Casa Grande / AM",Gomes,Rio Grande do Sul,88744-614,1960-03-26,65,Policial federal,Azevedo,25587.52,1.55,77.0,32.0,24197.43,4425751266265645401,710.85,20,2023-01-01 15:46:42
5,Bianca Lopes,613.472.985-09,342081767,marquespedro-lucas@example.net,0800-620-6643,"Praia Maria Isis Melo
Mangueiras
96531-702 Nogueira de Goiás / MA",Ramos,Tocantins,49339777,1951-12-31,73,Fisiculturista,Mendonça Silva Ltda.,32874.82,1.85,68.0,19.9,34099.35,213115933673849,659.64,7,2023-06-03 06:58:33
6,Samuel Pereira,283.594.016-24,310456289,rhavi52@example.com,(081) 9486-7498,"Distrito de Gonçalves, 703
Pindorama
83409625 Sales / MG",Mendes de Sampaio,Paraná,66729293,1972-11-03,52,Avalista,Pacheco - ME,12856.35,1.93,86.0,23.1,66646.76,372393978689619,642.59,19,2021-05-09 17:33:33
7,Yan Pacheco,759.603.241-99,314675826,marinada-luz@example.org,+55 (081) 0354 8563,"Distrito Fogaça, 12
Santa Rosa
16595-377 Pinto / BA",Costa de Martins,Tocantins,12626352,2002-12-07,22,Enólogo,Vargas Fonseca - EI,44069.44,1.9,106.2,29.4,80343.29,3565180658019949,668.48,6,2023-03-17 07:23:19
8,Sra. Bárbara da Costa,683.041.975-10,348170257,alvesfelipe@example.com,+55 41 8659 6632,"Lago Mendonça, 2
Vila Nova Gameleira 2ª Seção
97894161 Rios do Amparo / PE",Ribeiro das Flores,Paraná,84093454,1949-05-01,76,Engenheiro de transportes,Câmara Vasconcelos Ltda.,7927.19,1.81,93.3,28.5,11874.86,4776549818477606,478.45,19,2021-02-13 08:51:43
9,Maria Laura Dias,789.362.501-59,68413052X,pintonathan@example.com,(051) 5414 5719,"Recanto de Andrade, 59
Vila Ipiranga
07448-736 Aparecida das Pedras / AL",Abreu,Minas Gerais,78537955,1975-12-06,49,Produtor fonográfico,Abreu,12635.8,1.53,58.6,25.0,66391.39,379021341209277,838.63,17,2021-09-26 18:49:31
10,Sophia Santos,915.783.264-19,364702813,elisaaparecida@example.com,+55 (041) 5425-1527,"Praia de Campos, 99
Aparecida
20219515 Cardoso / MT",Correia Paulista,Mato Grosso do Sul,16331216,1993-09-01,32,Velejador,Mendes,35662.54,1.88,111.0,31.4,55732.45,4884346760245,782.27,16,2025-02-01 09:44:03
