id,nome_completo,cpf,rg,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,numero_cartao,score_credito,tempo_cliente,data_cadastro
1,Ravy Pires,481.527.603-07,643217502,cavalcanterodrigo@example.org,0300 960 0756,Endereço Anonimizado,Cidade Anonimizada,Minas Gerais,15812-955,1966-02-05,56-65,Líder comunitário,Correia Ltda.,Médio-Baixo,1.77,99.5,31.8,66634,180087015302960,463,19,2021-11-03 14:39:55
2,Dante Castro,935.218.406-89,701658344,vargasheloisa@example.net,+55 81 3875-5950,Endereço Anonimizado,Cidade Anonimizada,Mato Grosso do Sul,73217-013,1960-04-15,56-65,Agente funerário,Lopes Pereira - ME,Médio-Baixo,1.9,102.7,28.4,41335,4318286909068540,746,10,2023-01-14 11:05:46
3,Rafaela Dias,670.985.243-10,537826014,ecamara@example.net,(011) 0078 3854,Endereço Anonimizado,Cidade Anonimizada,Paraná,28073-846,1993-12-17,26-35,Educador integrado à saúde pública,Barros,Alto,1.74,103.0,34.0,69051,2230663473545435,447,13,2024-09-10 09:44:38
4,Davi Sales,724.085.319-50,038746219,luiz-henrique07@example.net,+55 71 4413 9174,Endereço Anonimizado,Cidade Anonimizada,Rio Grande do Sul,88744-614,1960-03-26,56-65,Policial federal,Azevedo,Alto,1.55,77.0,32.0,24761,4425751266265645401,705,20,2023-01-01 15:46:42
5,Bianca Lopes,613.472.985-09,342081767,marquespedro-lucas@example.net,0800-620-6643,Endereço Anonimizado,Cidade Anonimizada,Tocantins,49339777,1951-12-31,65+,Fisiculturista,Mendonça Silva Ltda.,Alto,1.85,68.0,19.9,31998,213115933673849,665,7,2023-06-03 06:58:33
6,Samuel Pereira,283.594.016-24,310456289,rhavi52@example.com,(081) 9486-7498,Endereço Anonimizado,Cidade Anonimizada,Paraná,66729293,1972-11-03,46-55,Avalista,Pacheco - ME,Médio,1.93,86.0,23.1,66711,372393978689619,649,19,2021-05-09 17:33:33
7,Yan Pacheco,759.603.241-99,314675826,marinada-luz@example.org,+55 (081) 0354 8563,Endereço Anonimizado,Cidade Anonimizada,Tocantins,12626352,2002-12-07,18-25,Enólogo,Vargas Fonseca - EI,Alto,1.9,106.2,29.4,81888,3565180658019949,654,6,2023-03-17 07:23:19
8,Sra. Bárbara da Costa,683.041.975-10,348170257,alvesfelipe@example.com,+55 41 8659 6632,Endereço Anonimizado,Cidade Anonimizada,Paraná,84093454,1949-05-01,65+,Engenheiro de transportes,Câmara Vasconcelos Ltda.,Médio-Baixo,1.81,93.3,28.5,12268,4776549818477606,470,19,2021-02-13 08:51:43
9,Maria Laura Dias,789.362.501-59,68413052X,pintonathan@example.com,(051) 5414 5719,Endereço Anonimizado,Cidade Anonimizada,Minas Gerais,78537955,1975-12-06,46-55,Produtor fonográfico,Abreu,Médio,1.53,58.6,25.0,67192,379021341209277,828,17,2021-09-26 18:49:31
10,Sophia Santos,915.783.264-19,364702813,elisaaparecida@example.com,+55 (041) 5425-1527,Endereço Anonimizado,Cidade Anonimizada,Mato Grosso do Sul,16331216,1993-09-01,26-35,Velejador,Mendes,Alto,1.88,111.0,31.4,53687,4884346760245,783,16,2025-02-01 09:44:03
