id,nome_completo,cpf,rg,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,numero_cartao,score_credito,tempo_cliente,data_cadastro
1,Ravy Pires,481***.***-07,643217502,c***@example.org,***-****-0756,"Morro Joaquim Aparecida, 66
Laranjeiras
49054986 Porto / MA",Almeida Alegre,Minas Gerais,15812-955,1966-02-05,59,Líder comunitário,Correia Ltda.,6663,1.77,99.5,31.8,66634,180087015302960,463,19,2021-11-03 14:39:55
2,Dante Castro,935***.***-89,701658344,v***@example.net,***-****-5950,"Fazenda Costela, 69
Nova Gameleira
56626472 Casa Grande dos Dourados / PB",da Conceição de Fonseca,Mato Grosso do Sul,73217-013,1960-04-15,65,Agente funerário,Lopes Pereira - ME,9525,1.9,102.7,28.4,41335,4318286909068540,746,10,2023-01-14 11:05:46
3,Rafaela Dias,670***.***-10,537826014,e***@example.net,***-****-3854,"Lago de Nascimento, 46
Maria Virgínia
22766097 da Mota da Serra / PR",Nascimento do Galho,Paraná,28073-846,1993-12-17,31,Educador integrado à saúde pública,Barros,42717,1.74,103.0,34.0,69051,2230663473545435,447,13,2024-09-10 09:44:38
4,Davi Sales,724***.***-50,038746219,l***@example.net,***-****-9174,"Vila Aparecida, 8
Vila Petropolis
32385-022 Casa Grande / AM",Gomes,Rio Grande do Sul,88744-614,1960-03-26,65,Policial federal,Azevedo,25836,1.55,77.0,32.0,24761,4425751266265645401,705,20,2023-01-01 15:46:42
5,Bianca Lopes,613***.***-09,342081767,m***@example.net,***-****-6643,"Praia Maria Isis Melo
Mangueiras
96531-702 Nogueira de Goiás / MA",Ramos,Tocantins,49339777,1951-12-31,73,Fisiculturista,Mendonça Silva Ltda.,33482,1.85,68.0,19.9,31998,213115933673849,665,7,2023-06-03 06:58:33
6,Samuel Pereira,283***.***-24,310456289,r***@example.com,***-****-7498,"Distrito de Gonçalves, 703
Pindorama
83409625 Sales / MG",Mendes de Sampaio,Paraná,66729293,1972-11-03,52,Avalista,Pacheco - ME,13137,1.93,86.0,23.1,66711,372393978689619,649,19,2021-05-09 17:33:33
7,Yan Pacheco,759***.***-99,314675826,m***@example.org,***-****-8563,"Distrito Fogaça, 12
Santa Rosa
16595-377 Pinto / BA",Costa de Martins,Tocantins,12626352,2002-12-07,22,Enólogo,Vargas Fonseca - EI,43787,1.9,106.2,29.4,81888,3565180658019949,654,6,2023-03-17 07:23:19
8,Sra. Bárbara da Costa,683***.***-10,348170257,a***@example.com,***-****-6632,"Lago Mendonça, 2
Vila Nova Gameleira 2ª Seção
97894161 Rios do Amparo / PE",Ribeiro das Flores,Paraná,84093454,1949-05-01,76,Engenheiro de transportes,Câmara Vasconcelos Ltda.,8393,1.81,93.3,28.5,12268,4776549818477606,470,19,2021-02-13 08:51:43
9,Maria Laura Dias,789***.***-59,68413052X,p***@example.com,***-****-5719,"Recanto de Andrade, 59
Vila Ipiranga
07448-736 Aparecida das Pedras / AL",Abreu,Minas Gerais,78537955,1975-12-06,49,Produtor fonográfico,Abreu,12134,1.53,58.6,25.0,67192,379021341209277,828,17,2021-09-26 18:49:31
10,Sophia Santos,915***.***-19,364702813,e***@example.com,***-****-1527,"Praia de Campos, 99
Aparecida
20219515 Cardoso / MT",Correia Paulista,Mato Grosso do Sul,16331216,1993-09-01,32,Velejador,Mendes,36571,1.88,111.0,31.4,53687,4884346760245,783,16,2025-02-01 09:44:03
11,Juliana Santos,524***.***-09,702486310,p***@example.com,***-****-8794,"Lago Ribeiro, 36
Vila Santo Antônio
42876-676 Machado de Garcia / MA",Moreira,Maranhão,32900-809,1982-12-07,42,Broker/Corretor da bolsa de valores,Freitas Cardoso - ME,12771,1.99,75.4,19.0,74492,5473744139415830,814,13,2021-07-16 22:36:16
12,Noah Porto,306***.***-00,420671353,l***@example.net,***-****-6189,"Pátio Vitor Gabriel da Cruz, 15
Buraco Quente
20773989 da Mata / PA",Caldeira,Pernambuco,97082-771,1950-01-20,75,Luthier,Siqueira Lima S.A.,29680,1.97,92.4,23.8,84841,5513620797799347,765,20,2020-11-30 13:04:46
13,Felipe Fernandes,195***.***-73,582430719,e***@example.net,***-****-2450,"Passarela Davi Lucas Siqueira, 79
Novo Glória
02939-997 Machado / AP",da Mota da Praia,Pará,21668-634,1949-12-28,75,Zelador,Peixoto,28297,1.91,72.6,19.9,28481,4591871138558517452,682,10,2021-02-03 02:08:56
14,Dr. Diogo Siqueira,830***.***-44,058341766,l***@example.com,***-****-6692,"Rodovia Silveira, 240
Santa Efigênia
42784530 Fonseca / MA",Farias de Goiás,Sergipe,50585-026,1950-07-20,75,Técnico em taquigrafia,da Cunha S/A,19989,1.8,92.6,28.6,77593,343309218788413,589,18,2021-07-07 11:37:39
15,Srta. Bella da Costa,071***.***-53,450127382,r***@example.net,***-****-3502,"Alameda Novais, 39
Marieta 1ª Seção
17987-593 Oliveira de Mendonça / PI",Albuquerque,Mato Grosso,80956830,1957-04-29,68,Arranjador musical,Nogueira,20502,1.79,113.5,35.4,60102,4662902030672264362,347,12,2022-04-09 13:20:34
16,Sophie Moura,160***.***-80,615073487,l***@example.org,***-****-2843,"Viela Brayan Guerra, 41
Santa Maria
96648575 Andrade dos Dourados / AP",da Mata,Acre,23098-010,1962-11-22,62,Mecânico,Brito,35721,1.54,69.8,29.4,52211,4975652425232056,467,19,2022-01-29 14:16:21
17,Luigi Cardoso,314***.***-01,476215389,j***@example.net,***-****-3903,"Estrada Vieira, 18
Conjunto Califórnia Ii
27039316 Vasconcelos dos Dourados / SE",Macedo,Bahia,15918-067,1976-09-30,49,Engenheiro de controle e automação,Siqueira Alves S/A,16314,1.75,51.6,16.8,25758,2273931522932567,682,6,2021-12-03 04:07:57
18,Luiz Gustavo Moura,371***.***-28,280637159,m***@example.com,***-****-1888,"Sítio Emanuelly Aparecida, 182
Conjunto Capitão Eduardo
27609702 Dias / GO",Fonseca,Santa Catarina,30900868,1983-10-03,42,Engenheiro aeronáutico,da Conceição Cardoso - ME,40273,1.64,59.9,22.3,55170,2277929039836822,315,11,2022-12-29 13:34:35
19,Noah Pastor,340***.***-79,832057642,o***@example.net,***-****-9758,"Viaduto de Ribeiro, 746
Olhos D'água
46808-436 Pacheco da Serra / RJ",Nascimento da Prata,Roraima,22648-669,2006-08-01,19,Dublê,Cunha - EI,27777,1.65,113.9,41.8,52415,4551299518819,838,1,2023-06-09 15:17:59
20,Dr. Anthony Gabriel da Paz,749***.***-20,130472864,a***@example.com,***-****-0053,"Via de Pacheco, 4
Mangabeiras
86334-517 Sales / MA",Garcia da Praia,Goiás,67976-398,1965-07-14,60,Tecnólogo em silvicultura,da Conceição Moreira S/A,26100,1.57,90.2,36.6,48881,6585724272100335,755,10,2025-07-18 04:01:24
21,Caio Novaes,539***.***-25,187256408,o***@example.org,***-****-0038,"Viela de Almeida, 213
Saudade
82379645 Jesus do Galho / MS",Aragão,Bahia,14173-384,2002-12-28,22,Rebarbador de metal,Rezende,38037,1.64,75.6,28.1,8645,562091596337,492,19,2022-08-29 12:58:24
22,Srta. Emanuella Cavalcante,529***.***-43,82316570X,a***@example.org,***-****-1158,"Fazenda Dom Freitas, 72
Conjunto Lagoa
39786939 da Mata / MA",Santos da Praia,Alagoas,46600975,1983-09-02,42,Tosador,Garcia,23632,1.94,57.3,15.2,33688,3543340673069306,351,13,2024-09-20 03:10:09
23,Ágatha Moura,694***.***-42,302714583,c***@example.org,***-****-7574,"Setor de Aragão, 75
Vila Nova Cachoeirinha 1ª Seção
94917-743 Correia Verde / SC",Rios,Rondônia,01281-789,1976-10-28,48,Webdesigner,Vasconcelos Almeida e Filhos,21521,1.96,79.0,20.6,55707,4211759239820912653,567,20,2021-12-21 09:55:01
24,Theodoro Vieira,315***.***-16,327164086,a***@example.net,***-****-9541,"Pátio de Porto, 68
Centro
55995401 Moreira / AM",Brito do Sul,Paraíba,53128-099,2002-08-13,23,Cardiologista,Machado Almeida S.A.,37153,1.76,92.1,29.7,79045,180019036067793,431,1,2021-12-24 19:11:04
25,José Albuquerque,605***.***-60,406318578,p***@example.net,***-****-7278,"Avenida Montenegro, 21
Jardim Dos Comerciarios
26511408 Lopes dos Dourados / CE",Gonçalves das Flores,Paraíba,33503305,1949-11-12,75,Coreógrafo,Almeida Costela - EI,19122,1.55,75.5,31.4,15378,3544196602596937,666,13,2024-10-16 13:09:14
26,Julia Cunha,639***.***-52,650341727,c***@example.com,***-****-8183,"Chácara Fogaça, 361
Andiroba
50426509 Abreu / AC",Mendes de Fonseca,Minas Gerais,55088097,1957-05-01,68,Policial civil,Macedo Barros Ltda.,18747,1.9,80.4,22.3,53452,345789056249396,415,5,2023-11-22 23:00:47
27,Hellena Pires,468***.***-93,258407633,p***@example.org,***-****-7439,"Ladeira de da Cunha, 393
Distrito Industrial Do Jatoba
87445-808 Sampaio / SC",Pires,Mato Grosso do Sul,25343-361,1996-04-05,29,Naturólogo,da Conceição,41978,1.95,74.8,19.7,73884,3591508322742801,543,12,2024-07-18 16:54:27
28,Giovanna Vieira,941***.***-32,70623814X,m***@example.org,***-****-0530,"Viela Pacheco
São Benedito
92546-868 Moraes do Amparo / RN",Macedo de Minas,Ceará,02378-770,1977-02-22,48,Engenheiro de processos,Rezende S/A,17560,1.89,88.4,24.7,38680,6597173987458701,688,7,2025-05-15 22:16:36
29,Ana Leão,906***.***-24,126037486,r***@example.org,***-****-4622,"Feira Clarice Campos
Vila Formosa
80178-193 Pimenta da Prata / MG",Costa,Piauí,85272-995,2007-06-13,18,Policial militar,Aparecida,29465,1.5,75.1,33.4,56682,4530659794418,777,19,2022-04-06 09:39:13
30,Raul da Mata,751***.***-16,476823018,i***@example.org,***-****-8514,"Esplanada Mateus Costela, 725
Virgínia
37314-908 Brito de Sousa / AL",Pimenta,Rio Grande do Norte,96642234,1971-07-16,54,Engenheiro florestal,Vasconcelos Barbosa Ltda.,49201,1.87,75.0,21.4,50913,3517256440518288,794,18,2020-10-10 02:21:36
31,Dra. Luísa Fogaça,037***.***-01,713865246,l***@example.com,***-****-1923,"Esplanada Carolina Alves
Lourdes
59591-394 Leão / MG",Peixoto,Paraná,39497473,1984-03-16,41,Copeiro,Melo Almeida e Filhos,24450,1.56,109.7,45.1,35600,4822896270695157,451,12,2024-09-15 04:43:26
32,Hadassa Câmara,405***.***-30,465318708,l***@example.org,***-****-5523,"Vereda Sousa, 362
Serra
17284-290 Caldeira / RN",da Cruz,Rio Grande do Sul,37904641,1989-05-28,36,Neurocirurgião,Pacheco Cavalcante e Filhos,24660,1.81,80.5,24.6,88217,370862938338386,629,3,2023-11-18 01:02:07
33,Davi Gonçalves,193***.***-23,614072359,l***@example.net,***-****-6207,"Lagoa Carvalho, 50
Penha
89909-175 Jesus / RS",Rocha,São Paulo,43125715,1995-02-25,30,Líder comunitário,da Conceição Ltda.,14962,1.94,70.9,18.8,79273,4832120995083971,452,18,2021-07-29 08:38:39
34,Dra. Maria Júlia da Rocha,087***.***-49,203471568,a***@example.net,***-****-6357,"Lagoa Sá, 8
Vila Independencia 2ª Seção
53024781 Machado / MG",Lopes,Paraíba,91292-562,1971-08-26,54,Atleta de arremesso de peso,Azevedo Ltda.,49298,1.86,62.7,18.1,29229,6011239494568148,428,3,2024-05-13 03:05:13
35,Matteo Câmara,371***.***-26,806271358,l***@example.net,***-****-5513,"Setor Moreira, 3
Maria Virgínia
00276635 Aparecida dos Dourados / MA",Cassiano da Prata,Rio de Janeiro,32494829,1971-08-24,54,Geólogo,Pacheco,5756,1.83,54.6,16.3,96362,213198258250807,539,6,2020-11-12 01:41:13
36,Maria Clara Rezende,284***.***-01,873016257,c***@example.com,***-****-6646,"Residencial de Pimenta, 189
Conjunto Paulo Vi
42660-140 Cunha / RO",da Cruz,Rio Grande do Sul,64621807,1996-01-27,29,Harpista,Dias,25947,1.79,113.2,35.3,85256,3554712479343174,431,7,2024-06-27 18:41:46
37,Luna Ramos,968***.***-39,601725347,v***@example.net,***-****-1797,"Trecho Rafael Vasconcelos, 55
Vila Betânia
32971-063 Sousa / GO",Novais do Norte,Tocantins,29572-151,1986-05-10,39,Senador,Câmara,8281,1.63,63.5,23.9,42147,4060176188951,628,15,2023-10-15 02:39:18
38,Gael Henrique Albuquerque,387***.***-12,845132672,q***@example.org,***-****-1282,"Favela de Cassiano
Vila Aeroporto
12020-795 Jesus / MA",Costela da Praia,Rio Grande do Norte,75711-215,1946-12-12,78,Cozinheira,Freitas,19511,1.95,53.5,14.1,68822,4201244159000,774,4,2021-04-23 04:28:39
39,Sra. Gabriela Cunha,750***.***-76,547263107,c***@example.org,***-****-2542,"Praça Ana Laura Almeida, 87
Beira Linha
69216006 Pinto de Goiás / PB",Rocha,Acre,10255043,1996-01-24,29,Marechal,Pacheco Ltda.,19271,1.77,66.8,21.3,9082,30321575109834,815,1,2021-11-30 16:54:32
40,Kevin da Mota,927***.***-58,10364782X,y***@example.com,***-****-3155,"Recanto de da Mata, 1
Jardim São José
67458-629 Porto de Fogaça / GO",Montenegro de Goiás,Pernambuco,41927-242,1984-02-19,41,Mensageiro,Rezende,36730,1.75,106.2,34.7,14889,4581383482512372,691,6,2022-03-21 04:58:10
41,Maria Luísa Siqueira,146***.***-90,643280157,e***@example.com,***-****-9322,"Morro de Teixeira, 35
Betânia
93441717 Cassiano de Goiás / PR",Sá Verde,Pará,12726-760,2004-09-18,21,Arqueólogo,da Mota Azevedo S/A,18393,1.75,107.8,35.2,91557,348478703942473,628,12,2022-01-20 01:17:33
42,Dr. Felipe Fonseca,263***.***-02,208136757,j***@example.com,***-****-6954,"Condomínio Maria Clara Albuquerque, 24
Corumbiara
60225-029 Câmara do Norte / SE",Rocha de Sousa,Tocantins,46250-115,1971-04-02,54,Eletricista,Costela e Filhos,39313,1.91,69.1,18.9,80214,3571131765146275,380,12,2021-10-12 08:45:08
43,Maria Cecília da Cunha,740***.***-48,614203788,c***@example.org,***-****-9598,"Parque Joana Casa Grande, 5
Boa Esperança
15004-621 da Paz / PI",Cardoso,Rio Grande do Norte,70054-385,2004-11-28,20,Geólogo,Melo S.A.,4953,1.56,117.5,48.3,91965,3565403255356492,701,16,2023-12-05 12:59:53
44,Dr. Ravi Marques,342***.***-07,214687351,h***@example.net,***-****-6206,"Estação de Sales
Minas Brasil
78235989 Nunes do Amparo / MG",Vasconcelos Grande,Rondônia,79591-809,2003-07-05,22,Amolador de ferramentas,Garcia,20157,1.96,95.9,25.0,41073,3502943282598844,625,11,2022-12-24 00:45:46
45,Dr. Josué Câmara,163***.***-21,051682473,n***@example.org,***-****-9050,"Área Cavalcanti, 564
Vila Real 2ª Seção
03024-376 Vasconcelos / RN",Silveira,Minas Gerais,45344-922,1953-03-13,72,Chapeiro,Santos,18877,1.99,51.2,12.9,48263,4950489547844180,681,7,2022-09-11 22:40:16
46,Amanda Almeida,964***.***-31,514762032,s***@example.com,***-****-2281,"Avenida de Rodrigues, 82
Marieta 2ª Seção
67570130 Cavalcanti / RJ",Jesus de Alves,Piauí,42097-721,1987-01-20,38,Promotor de vendas,Souza S/A,35975,1.78,62.9,19.9,90760,6567935672224945,352,5,2024-08-20 00:19:46
47,Luara da Paz,405***.***-20,81567420X,l***@example.com,***-****-9422,"Lagoa de Gonçalves, 43
Vila Madre Gertrudes 4ª Seção
82287-744 Dias / PR",Oliveira,Rio Grande do Sul,41634-353,1964-11-12,60,Desenhista,Teixeira S/A,3715,1.65,72.3,26.6,87314,587257138509,465,4,2021-05-03 17:48:54
48,Josué Vieira,267***.***-76,120487639,i***@example.net,***-****-1849,"Feira de Cavalcanti, 10
Vila Aeroporto
23879725 Cardoso / PA",Carvalho,Amazonas,48419-147,1983-01-08,42,Profissional de relações públicas,da Conceição Fogaça Ltda.,10749,1.79,65.0,20.3,78408,6011425657482058,431,14,2022-03-30 09:17:00
49,Pedro Lucas Viana,480***.***-65,436850278,s***@example.org,***-****-5032,"Alameda de Camargo, 37
Vila Maloca
84378541 Fogaça / PA",Nogueira,Rio Grande do Sul,40488963,1985-04-09,40,Gastrônomo,Lima Siqueira S.A.,4076,1.92,90.7,24.6,89622,6549899028975928,734,15,2022-06-02 23:46:24
50,Davi Lucca Nunes,160***.***-17,230617852,g***@example.org,***-****-9633,"Loteamento de Pastor
Unidas
12189-677 Siqueira da Prata / AL",Cavalcanti de da Conceição,Rio Grande do Norte,67859150,1960-06-21,65,Tecnólogo em papel e celulose,Cirino,4546,1.64,115.1,42.8,54735,3549423364151734,728,14,2023-12-02 15:54:57
51,Julia Andrade,342***.***-60,013874627,d***@example.com,***-****-3310,"Distrito Fogaça, 184
Madre Gertrudes
45888-247 Jesus de Minas / SE",Montenegro,Rondônia,63985-444,1990-06-15,35,Físico nuclear,Cavalcanti Ltda.,27293,1.64,88.0,32.7,57943,6011861794598788,534,13,2021-06-12 01:56:01
52,Maria Luiza das Neves,845***.***-67,160247834,c***@example.org,***-****-4101,"Estrada de Jesus, 89
Nazare
76120-617 Borges dos Dourados / PB",Abreu de Almeida,Acre,99450818,1950-01-04,75,Alpinista,Oliveira Barros Ltda.,46868,1.77,100.3,32.0,20018,346952770138480,601,0,2022-07-11 16:46:46
53,Sr. Gustavo Jesus,307***.***-93,017534264,l***@example.net,***-****-9846,"Campo de Oliveira
Jaqueline
74342-598 Fernandes de Minas / BA",Leão Grande,Mato Grosso do Sul,50146242,2007-03-31,18,Serralheiro,Nunes - EI,42777,1.93,86.9,23.3,24765,6521930612273735,781,10,2023-04-26 20:30:21
54,Francisco Nunes,406***.***-07,458327165,a***@example.com,***-****-2223,"Lagoa de Mendes
Nova Cintra
41645737 Brito do Oeste / RJ",Fernandes,Rio Grande do Sul,74681-338,1968-03-06,57,Manobrista,Rodrigues e Filhos,12853,1.89,115.9,32.4,62523,180089217789416,382,2,2023-03-07 06:44:19
55,Luiz Henrique Costa,906***.***-56,835271407,d***@example.org,***-****-8744,"Rua Benicio Melo, 69
Cidade Nova
92744-198 Lopes de Brito / RO",Duarte dos Dourados,Rondônia,05323-528,2001-08-26,24,Técnico em tratamento de água,Santos Teixeira - EI,13881,1.59,119.4,47.2,91363,4822602019484,424,2,2021-10-01 19:53:24
56,Ana Cecília Ferreira,465***.***-06,174380562,e***@example.org,***-****-2078,"Fazenda Natália Azevedo, 7
Lagoinha
28945-858 Mendonça / MA",Guerra,Amapá,85651258,1994-05-03,31,Radialista,Fonseca Ltda.,33129,1.59,79.1,31.3,27655,213180613997173,437,20,2025-07-11 06:06:01
57,Luísa Monteiro,574***.***-62,205376411,d***@example.net,***-****-3592,"Via Carvalho, 68
Campo Alegre
36243-335 Machado de Nascimento / AM",Ribeiro do Sul,Goiás,97480649,1967-11-29,57,Odontologista preventivo e social,Leão e Filhos,37133,1.68,117.3,41.6,91898,6579698311057243,322,5,2024-03-25 00:38:30
