id,nome_completo,cpf,rg,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,numero_cartao,score_credito,tempo_cliente,data_cadastro
1,Ravy Pires,481.527.603-07,643217502,2952de46d422d225,15a5cd44271ca3c4,"Morro Joaquim Aparecida, 66
Laranjeiras
49054986 Porto / MA",Almeida Alegre,Minas Gerais,15812-955,1966-02-05,59,Líder comunitário,Correia Ltda.,6663,1.77,99.5,31.8,66634,180087015302960,463,19,2021-11-03 14:39:55
2,Dante Castro,935.218.406-89,701658344,1fe4a35972f497b4,056c1f90de10a768,"Fazenda Costela, 69
Nova Gameleira
56626472 Casa Grande dos Dourados / PB",da Conceição de Fonseca,Mato Grosso do Sul,73217-013,1960-04-15,65,Agente funerário,Lopes Pereira - ME,9525,1.9,102.7,28.4,41335,4318286909068540,746,10,2023-01-14 11:05:46
3,Rafaela Dias,670.985.243-10,537826014,22697007f3ecf973,aa004983156c49cc,"Lago de Nascimento, 46
Maria Virgínia
22766097 da Mota da Serra / PR",Nascimento do Galho,Paraná,28073-846,1993-12-17,31,Educador integrado à saúde pública,Barros,42717,1.74,103.0,34.0,69051,2230663473545435,447,13,2024-09-10 09:44:38
4,Davi Sales,724.085.319-50,038746219,9530050ad9ca8464,465fc89da6263f88,"Vila Aparecida, 8
Vila Petropolis
32385-022 Casa Grande / AM",Gomes,Rio Grande do Sul,88744-614,1960-03-26,65,Policial federal,Azevedo,25836,1.55,77.0,32.0,24761,4425751266265645401,705,20,2023-01-01 15:46:42
5,Bianca Lopes,613.472.985-09,342081767,e3d0dfc159bbab4e,e85e2193e344580c,"Praia Maria Isis Melo
Mangueiras
96531-702 Nogueira de Goiás / MA",Ramos,Tocantins,49339777,1951-12-31,73,Fisiculturista,Mendonça Silva Ltda.,33482,1.85,68.0,19.9,31998,213115933673849,665,7,2023-06-03 06:58:33
6,Samuel Pereira,283.594.016-24,310456289,96133be2aab799ef,cbcf15b80f834b28,"Distrito de Gonçalves, 703
Pindorama
83409625 Sales / MG",Mendes de Sampaio,Paraná,66729293,1972-11-03,52,Avalista,Pacheco - ME,13137,1.93,86.0,23.1,66711,372393978689619,649,19,2021-05-09 17:33:33
7,Yan Pacheco,759.603.241-99,314675826,c68e3850d484e0b2,b12f73842ffb78cd,"Distrito Fogaça, 12
Santa Rosa
16595-377 Pinto / BA",Costa de Martins,Tocantins,12626352,2002-12-07,22,Enólogo,Vargas Fonseca - EI,43787,1.9,106.2,29.4,81888,3565180658019949,654,6,2023-03-17 07:23:19
8,Sra. Bárbara da Costa,683.041.975-10,348170257,990779dfb423cb3b,3367e0ae89d255a3,"Lago Mendonça, 2
Vila Nova Gameleira 2ª Seção
97894161 Rios do Amparo / PE",Ribeiro das Flores,Paraná,84093454,1949-05-01,76,Engenheiro de transportes,Câmara Vasconcelos Ltda.,8393,1.81,93.3,28.5,12268,4776549818477606,470,19,2021-02-13 08:51:43
9,Maria Laura Dias,789.362.501-59,68413052X,6d630a89a2589773,48dd433ce5d3a85f,"Recanto de Andrade, 59
Vila Ipiranga
07448-736 Aparecida das Pedras / AL",Abreu,Minas Gerais,78537955,1975-12-06,49,Produtor fonográfico,Abreu,12134,1.53,58.6,25.0,67192,379021341209277,828,17,2021-09-26 18:49:31
10,Sophia Santos,915.783.264-19,364702813,2a4baf154a5bfcab,717fd1f358d13cbf,"Praia de Campos, 99
Aparecida
20219515 Cardoso / MT",Correia Paulista,Mato Grosso do Sul,16331216,1993-09-01,32,Velejador,Mendes,36571,1.88,111.0,31.4,53687,4884346760245,783,16,2025-02-01 09:44:03
