id,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,score_credito,tempo_cliente,data_cadastro
1,cavalcanterodrigo@example.org,0300 960 0756,"Morro Joaquim Aparecida, 66
Laranjeiras
49054986 Porto / MA",Almeida Alegre,Minas Gerais,15812-955,1966-02-05,59,Líder comunitário,Correia Ltda.,6663,1.77,99.5,31.8,66634,463,19,2021-11-03 14:39:55
2,vargasheloisa@example.net,+55 81 3875-5950,"Fazenda Costela, 69
Nova Gameleira
56626472 Casa Grande dos Dourados / PB",da Conceição de Fonseca,Mato Grosso do Sul,73217-013,1960-04-15,65,Agente funerário,Lopes Pereira - ME,9525,1.9,102.7,28.4,41335,746,10,2023-01-14 11:05:46
3,ecamara@example.net,(011) 0078 3854,"Lago de Nascimento, 46
Maria Virgínia
22766097 da Mota da Serra / PR",Nascimento do Galho,Paraná,28073-846,1993-12-17,31,Educador integrado à saúde pública,Barros,42717,1.74,103.0,34.0,69051,447,13,2024-09-10 09:44:38
4,luiz-henrique07@example.net,+55 71 4413 9174,"Vila Aparecida, 8
Vila Petropolis
32385-022 Casa Grande / AM",Gomes,Rio Grande do Sul,88744-614,1960-03-26,65,Policial federal,Azevedo,25836,1.55,77.0,32.0,24761,705,20,2023-01-01 15:46:42
5,marquespedro-lucas@example.net,0800-620-6643,"Praia Maria Isis Melo
Mangueiras
96531-702 Nogueira de Goiás / MA",Ramos,Tocantins,49339777,1951-12-31,73,Fisiculturista,Mendonça Silva Ltda.,33482,1.85,68.0,19.9,31998,665,7,2023-06-03 06:58:33
6,rhavi52@example.com,(081) 9486-7498,"Distrito de Gonçalves, 703
Pindorama
83409625 Sales / MG",Mendes de Sampaio,Paraná,66729293,1972-11-03,52,Avalista,Pacheco - ME,13137,1.93,86.0,23.1,66711,649,19,2021-05-09 17:33:33
7,marinada-luz@example.org,+55 (081) 0354 8563,"Distrito Fogaça, 12
Santa Rosa
16595-377 Pinto / BA",Costa de Martins,Tocantins,12626352,2002-12-07,22,Enólogo,Vargas Fonseca - EI,43787,1.9,106.2,29.4,81888,654,6,2023-03-17 07:23:19
8,alvesfelipe@example.com,+55 41 8659 6632,"Lago Mendonça, 2
Vila Nova Gameleira 2ª Seção
97894161 Rios do Amparo / PE",Ribeiro das Flores,Paraná,84093454,1949-05-01,76,Engenheiro de transportes,Câmara Vasconcelos Ltda.,8393,1.81,93.3,28.5,12268,470,19,2021-02-13 08:51:43
9,pintonathan@example.com,(051) 5414 5719,"Recanto de Andrade, 59
Vila Ipiranga
07448-736 Aparecida das Pedras / AL",Abreu,Minas Gerais,78537955,1975-12-06,49,Produtor fonográfico,Abreu,12134,1.53,58.6,25.0,67192,828,17,2021-09-26 18:49:31
10,elisaaparecida@example.com,+55 (041) 5425-1527,"Praia de Campos, 99
Aparecida
20219515 Cardoso / MT",Correia Paulista,Mato Grosso do Sul,16331216,1993-09-01,32,Velejador,Mendes,36571,1.88,111.0,31.4,53687,783,16,2025-02-01 09:44:03
11,portocarolina@example.com,+55 (061) 0483 8794,"Lago Ribeiro, 36
Vila Santo Antônio
42876-676 Machado de Garcia / MA",Moreira,Maranhão,32900-809,1982-12-07,42,Broker/Corretor da bolsa de valores,Freitas Cardoso - ME,12771,1.99,75.4,19.0,74492,814,13,2021-07-16 22:36:16
12,leonardo87@example.net,84 3341-6189,"Pátio Vitor Gabriel da Cruz, 15
Buraco Quente
20773989 da Mata / PA",Caldeira,Pernambuco,97082-771,1950-01-20,75,Luthier,Siqueira Lima S.A.,29680,1.97,92.4,23.8,84841,765,20,2020-11-30 13:04:46
13,ester05@example.net,+55 (021) 1369-2450,"Passarela Davi Lucas Siqueira, 79
Novo Glória
02939-997 Machado / AP",da Mota da Praia,Pará,21668-634,1949-12-28,75,Zelador,Peixoto,28297,1.91,72.6,19.9,28481,682,10,2021-02-03 02:08:56
14,lucas43@example.com,84 4759-6692,"Rodovia Silveira, 240
Santa Efigênia
42784530 Fonseca / MA",Farias de Goiás,Sergipe,50585-026,1950-07-20,75,Técnico em taquigrafia,da Cunha S/A,19989,1.8,92.6,28.6,77593,589,18,2021-07-07 11:37:39
15,rodrigopastor@example.net,+55 (031) 4908-3502,"Alameda Novais, 39
Marieta 1ª Seção
17987-593 Oliveira de Mendonça / PI",Albuquerque,Mato Grosso,80956830,1957-04-29,68,Arranjador musical,Nogueira,20502,1.79,113.5,35.4,60102,347,12,2022-04-09 13:20:34
16,luiz-henrique97@example.org,84 7951 2843,"Viela Brayan Guerra, 41
Santa Maria
96648575 Andrade dos Dourados / AP",da Mata,Acre,23098-010,1962-11-22,62,Mecânico,Brito,35721,1.54,69.8,29.4,52211,467,19,2022-01-29 14:16:21
17,joao-pedronascimento@example.net,+55 71 9377 3903,"Estrada Vieira, 18
Conjunto Califórnia Ii
27039316 Vasconcelos dos Dourados / SE",Macedo,Bahia,15918-067,1976-09-30,49,Engenheiro de controle e automação,Siqueira Alves S/A,16314,1.75,51.6,16.8,25758,682,6,2021-12-03 04:07:57
